Show Title,Show Date,Show Image Link,Theatre Name/Venue,Performance,Show Type,Link to Full Show Details,Scraping Date
Joe DeRosa,TBA,https://s1.ticketm.net/dam/a/6d0/53307bde-25fd-4832-8ba9-caa3259966d0_RECOMENDATION_16_9.jpg,"Summit, Denver, CO",,Comedy,https://concerts.livenation.com/joe-derosa-denver-colorado/event/1E005EE7E79654DA,2025-05-25
Fast Lane Access - Joe DeRosa - Not a Concert Ticket,TBA,https://s1.ticketm.net/dam/a/a8a/c449778f-0e18-427c-8de8-ca75d076aa8a_656921_RECOMENDATION_16_9.jpg,"Summit, Denver, CO",,Unspecified,https://concerts.livenation.com/fast-lane-access-joe-derosa-not-denver-colorado/event/1E005EE7F30E5D37,2025-05-25
CPS GOLDEN TICKETS,"Mar 9, 2024 - Oct 1, 2025",https://s1.ticketm.net/dam/c/368/b70b1d5a-ce61-4ca9-a3c7-3381694ae368_105351_RECOMENDATION_16_9.jpg,"The Big Dirty, Eugene, OR","Mar 9, 2024 - Oct 1, 2025",Unspecified,https://www.ticketweb.com/event/cps-golden-tickets-the-big-dirty-tickets/13621313,2025-05-25
Ride and Dine with Us!,Apr 30,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",Apr 30,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384408?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 1,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 1,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384368?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 2,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 2,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384378?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 3,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 3,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384438?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 4,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 4,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384388?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 5,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 5,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384418?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 6,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 6,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384428?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 7,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 7,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384448?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 8,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 8,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384468?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 9,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 9,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384528?REFERRAL_ID=tmfeed,2025-05-25
Ride and Dine with Us!,May 10,https://s1.ticketm.net/dam/c/03e/e15ef00f-2c87-4421-ae61-d740851a703e_105891_RECOMENDATION_16_9.jpg,"Hard Rock Cafe Miami, Miami, FL",May 10,Unspecified,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13384238?REFERRAL_ID=tmfeed,2025-05-25
